,Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange,
Rakdos Transmogrify,269,36,44,16,17,18,10,4,12,6,11,8,5,7,1,3,5,4,7,3,6,1,3,4,2,1,,2,,3,,,,
Rakdos Prowess,13,29,36,80,49,56,90,53,62,84,37,76,98,60,80,98,71,76,98,76,98,68,0,0,0,0,98,98,90,98,0,98,84,
Rakdos Prowess,43,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Rakdos Prowess,221,49,28,5,13,13,3,8,10,2,8,6,1,11,4,1,3,6,1,6,1,8,,,,,2,1,3,1,,1,2,
Orzhov Demons,14,32,58,41,45,60,53,76,80,45,84,98,62,98,98,76,0,90,74,98,90,0,98,0,98,98,98,98,0,0,84,98,0,
Orzhov Demons,53,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Demons,205,40,11,25,20,11,14,6,4,20,2,1,10,1,1,6,,3,6,1,3,,2,,1,1,1,1,,,2,1,,
Quintorius Combo,16,49,47,52,62,57,64,80,80,80,57,98,90,80,80,98,71,84,84,71,86,0,0,98,60,98,90,0,71,0,0,98,98,
Quintorius Combo,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Quintorius Combo,164,17,15,13,10,12,6,5,4,4,9,2,3,4,4,2,3,2,2,5,4,,,2,4,1,3,,3,,,1,2,
Boros Burn,16,33,74,36,46,62,98,64,80,53,84,98,98,0,98,98,90,84,98,98,84,0,98,60,86,98,98,0,0,98,0,98,98,
Boros Burn,59,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Burn,153,21,6,32,18,10,2,6,4,8,2,2,1,,1,2,3,2,1,1,2,,1,4,4,1,1,,,2,,1,1,
Dimir Ninjas,17,35,58,47,47,90,84,86,71,72,0,98,86,60,98,86,0,71,80,0,98,0,98,98,98,98,98,0,0,98,84,0,84,
Dimir Ninjas,61,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Dimir Ninjas,148,33,10,19,19,3,2,4,5,7,,2,4,4,1,4,,3,5,,1,,1,1,1,2,1,,,1,2,,2,
Esper Control,18,46,50,52,58,67,60,71,98,84,98,98,80,80,98,98,98,0,98,80,0,98,98,90,98,98,98,0,98,0,98,98,0,
Esper Control,48,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Esper Control,133,19,16,15,11,7,11,5,1,2,2,2,5,4,2,2,1,,1,4,,2,1,3,1,1,2,,1,,1,1,,
5 Color Landfall,18,44,47,80,74,47,80,67,90,98,90,67,0,84,98,98,74,98,0,84,84,98,98,0,0,0,0,0,98,98,0,0,98,
5 Color Landfall,49,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
5 Color Landfall,124,20,15,4,6,18,5,7,3,2,3,7,,2,2,1,6,1,,2,2,1,1,,,,,,1,1,,,1,
Mono Black,18,44,42,98,72,68,64,90,80,90,80,60,0,90,98,80,90,90,0,98,0,90,0,71,0,0,98,98,98,0,98,0,0,
Mono Black,40,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mono Black,121,22,19,2,7,8,6,3,4,3,5,4,,3,1,4,3,3,,1,,3,,3,,,1,1,2,,1,,,
Red Deck Wins,19,45,68,49,65,72,80,80,90,98,98,98,84,90,80,98,90,98,90,98,90,98,0,0,98,98,0,98,0,0,0,0,98,
Red Deck Wins,46,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Red Deck Wins,114,20,8,13,9,7,5,4,3,1,2,2,2,3,4,2,3,1,3,2,3,1,,,2,1,,1,,,,,1,
Izzet Creativity,19,54,46,58,80,62,74,57,80,84,80,86,90,98,0,98,0,98,98,98,0,0,84,0,0,84,98,0,98,0,0,90,0,
Izzet Creativity,56,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Izzet Creativity,106,13,14,7,4,10,6,9,4,2,5,4,3,1,,2,,2,1,1,,,2,,,2,1,,1,,,3,,
Goblins,21,54,63,80,60,62,67,98,80,76,98,90,98,98,98,98,90,0,98,0,98,98,0,0,0,0,0,0,98,0,0,98,0,
Goblins,52,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Goblins,95,13,9,5,11,10,7,2,4,6,2,3,1,1,1,1,3,,1,,2,1,,,,,,,2,,,1,,
Dimir Rogues,21,42,54,90,98,68,90,90,90,0,90,80,84,98,98,0,86,0,0,0,90,0,0,0,98,98,0,98,84,0,0,0,0,
Dimir Rogues,51,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Dimir Rogues,89,21,13,3,1,8,3,3,3,,3,4,2,1,2,,4,,,,3,,,,1,2,,1,2,,,,,
Dimir Control,22,53,56,84,80,65,98,84,74,80,80,98,0,98,98,71,90,0,98,98,84,98,98,98,0,0,0,90,0,0,0,0,0,
Dimir Control,51,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Dimir Control,86,10,13,2,5,9,1,2,6,4,4,1,,1,1,5,3,,1,1,2,2,1,2,,,,3,,,,,,
Boros Heroic,22,58,58,84,80,63,80,84,86,0,84,80,98,98,98,90,80,98,90,0,84,0,0,98,0,98,0,0,0,0,0,0,98,
Boros Heroic,48,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Heroic,83,11,11,2,4,9,5,2,4,,2,4,1,1,1,3,4,1,3,,2,,,1,,1,,,,,,,1,
Golgari Sacrifice,22,74,72,62,67,84,62,98,98,74,84,86,84,71,98,0,90,0,84,0,84,0,0,98,98,98,0,0,0,98,0,0,0,
Golgari Sacrifice,53,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Golgari Sacrifice,79,6,7,8,7,2,8,2,1,6,2,4,2,3,1,,3,,2,,2,,,1,1,1,,,,1,,,,
Atarka Red,24,58,65,52,80,84,98,90,84,98,72,98,84,84,0,0,98,98,0,0,0,98,98,98,98,0,98,0,0,0,90,98,98,
Atarka Red,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Atarka Red,78,11,9,5,5,2,1,3,2,1,7,2,2,2,,,1,1,,,,1,1,1,1,,1,,,,3,2,1,
Golgari Midrange,22,53,62,80,71,80,74,98,98,98,0,0,98,90,0,86,98,98,0,98,0,84,0,98,98,84,0,98,0,98,0,98,0,
Golgari Midrange,34,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Golgari Midrange,77,10,10,5,3,4,6,2,1,2,,,1,3,,4,1,1,,1,,2,,2,1,2,,1,,1,,1,,
Gruul Prowess,23,63,58,80,58,71,98,98,71,0,84,90,98,98,98,0,0,80,0,98,0,98,98,80,0,98,98,0,98,84,98,80,0,
Gruul Prowess,53,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Gruul Prowess,77,9,11,4,7,3,1,2,3,,2,3,1,1,1,,,4,,1,,1,1,5,,1,1,,1,2,1,5,,
Jeskai Creativity,24,57,57,0,76,74,84,90,84,98,98,80,98,0,98,98,98,90,98,98,71,0,98,0,0,98,98,98,98,0,98,0,0,
Jeskai Creativity,49,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jeskai Creativity,73,12,9,,6,6,2,3,2,1,1,5,1,,2,1,1,3,1,2,3,,1,,,1,1,1,1,,2,,,
Boros Creativity,24,62,62,0,58,48,90,90,80,98,0,80,0,86,98,0,90,0,0,0,98,0,98,0,0,0,98,0,0,98,0,0,98,
Boros Creativity,48,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Creativity,69,8,10,,7,9,3,3,5,1,,4,,4,1,,3,,,,1,,1,,,,1,,,1,,,1,
Boros Convoke,26,74,90,58,68,98,80,84,0,90,80,0,98,0,98,98,98,98,90,0,0,0,0,0,84,0,0,0,0,0,0,0,98,
Boros Convoke,47,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Convoke,64,6,3,11,8,2,4,2,,3,5,,2,,1,1,1,2,3,,,,,,2,,,,,,,,1,
Boros Transmogrify,27,74,52,98,90,64,98,98,84,98,80,84,0,98,0,98,98,98,0,90,0,98,0,0,0,0,0,0,0,0,0,0,0,
Boros Transmogrify,47,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Boros Transmogrify,58,6,15,1,3,6,1,1,2,1,5,2,,2,,1,1,2,,3,,1,,,,,,,,,,,,
Sultai Ramp,26,67,57,98,80,63,98,98,98,0,98,0,0,84,0,0,98,0,98,84,98,98,0,0,0,0,0,98,98,0,0,98,0,
Sultai Ramp,66,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Sultai Ramp,56,8,9,1,5,9,2,1,2,,2,,,2,,,1,,1,2,1,1,,,,,,2,1,,,1,,
4 Color Rona,29,72,63,71,80,98,90,98,0,90,0,98,98,98,98,0,98,0,0,0,0,0,0,98,0,98,98,98,98,0,0,0,0,
4 Color Rona,54,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
4 Color Rona,52,7,9,5,5,1,3,1,,3,,1,2,1,1,,1,,,,,,,1,,1,1,2,1,,,,,
Rakdos Creativity,29,52,98,68,90,0,80,98,0,60,0,0,98,98,98,0,0,0,98,98,0,0,98,0,90,0,0,0,0,0,0,0,0,
Rakdos Creativity,55,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Rakdos Creativity,49,13,1,8,3,,4,1,,4,,,2,1,1,,,,1,1,,,2,,3,,,,,,,,,
Rakdos Cauldron,30,90,68,90,80,80,84,84,86,0,84,0,84,0,84,98,0,0,0,98,0,0,0,98,0,0,0,0,0,98,0,0,0,
Rakdos Cauldron,56,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Rakdos Cauldron,45,3,8,3,5,5,2,2,4,,2,,2,,2,1,,,,1,,,,1,,,,,,1,,,,
Esper Greasefang,32,74,86,90,80,84,98,98,0,90,90,98,98,0,98,0,0,0,98,0,98,0,98,0,98,0,0,0,0,0,98,0,0,
Esper Greasefang,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Esper Greasefang,42,6,4,3,4,2,2,2,,3,3,1,1,,1,,,,2,,1,,1,,1,,,,,,1,,,
Orzhov Tokens,32,80,74,98,86,60,98,0,98,98,98,98,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,
Orzhov Tokens,38,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Tokens,39,4,6,1,4,4,1,,2,1,1,2,,,1,1,,,,,,,,,,,,,,,,,2,
Bring to Beanstalk,35,74,62,0,98,60,0,98,98,0,84,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,98,0,98,0,0,0,
Bring to Beanstalk,61,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Bring to Beanstalk,33,6,8,,1,4,,2,2,,2,,,,,,,,,2,2,,,,,,,1,,1,,,,
Orzhov Humans,37,90,98,84,98,98,98,98,0,84,0,98,0,90,98,98,0,0,98,98,0,0,98,0,98,98,0,0,0,0,0,0,0,
Orzhov Humans,48,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Humans,31,3,1,2,1,2,1,2,,2,,1,,3,1,1,,,1,1,,,1,,1,1,,,,,,,,
Sultai Yorion,37,65,90,0,98,98,98,84,0,0,0,98,0,98,0,0,0,0,0,0,0,98,0,84,0,0,0,0,0,0,0,0,98,
Sultai Yorion,62,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Sultai Yorion,29,9,3,,1,2,2,2,,,,1,,1,,,,,,,,2,,2,,,,,,,,,1,
Jeskai Control,38,80,80,90,98,98,0,0,98,0,84,0,0,98,0,0,90,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,
Jeskai Control,50,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jeskai Control,28,5,4,3,1,1,,,1,,2,,,1,,,3,,,,,2,,,,,,,,,,,,
Merfolks,39,84,65,80,0,0,98,90,98,0,98,84,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,
Merfolks,43,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Merfolks,28,2,9,4,,,1,3,1,,1,2,1,,,,,,,,,,,,,,,,,,1,,,
Bant Spirits,39,90,80,0,98,86,0,98,98,0,98,0,98,0,0,0,98,0,0,84,98,0,0,0,0,0,0,0,98,0,0,0,0,
Bant Spirits,43,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Bant Spirits,28,3,5,,1,4,,2,2,,1,,1,,,,2,,,2,1,,,,,,,,1,,,,,
Orzhov Midrange,39,74,71,0,98,80,0,0,98,0,98,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Orzhov Midrange,52,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Orzhov Midrange,27,6,5,,1,4,,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,
Jeskai Ascendancy,36,67,52,98,98,71,98,0,0,98,98,0,0,98,0,0,98,0,0,0,98,0,0,0,0,0,0,98,98,0,0,0,0,
Jeskai Ascendancy,30,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Jeskai Ascendancy,27,7,5,1,1,3,1,,,1,1,,,1,,,1,,,,1,,,,,,,1,1,,,,,
Mono Blue Spirits,41,80,76,0,98,0,98,98,98,0,0,98,0,98,0,98,0,98,0,98,98,0,0,0,0,0,0,0,0,0,0,98,0,
Mono Blue Spirits,52,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mono Blue Spirits,25,4,6,,1,,1,1,1,,,2,,1,,1,,2,,1,1,,,,,,,,,,,1,,
Archfiend Alteration,37,80,80,84,84,90,98,98,0,0,0,0,98,98,0,98,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Archfiend Alteration,28,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Archfiend Alteration,25,4,5,2,2,3,1,2,,,,,1,1,,1,,,2,,,,,,,,,,,,,,,
Golgari Roots,39,86,90,71,71,98,0,0,0,98,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,98,0,0,98,0,0,98,
Golgari Roots,32,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Golgari Roots,25,4,3,3,3,2,,,,1,,,1,,,,,,,,,1,,,,,1,,,2,,,1,
Rainbow Humans,41,84,90,98,98,98,98,86,84,84,0,0,84,0,0,84,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,
Rainbow Humans,58,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Rainbow Humans,24,2,3,1,2,1,1,4,2,2,,,2,,,2,,,,,,,,,,,,1,,,,,,
Mardu Reanimator,41,90,0,0,98,76,98,0,98,98,0,98,98,98,0,98,98,98,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,
Mardu Reanimator,35,50,56,48,44,44,43,37,52,62,58,58,40,68,44,46,35,58,46,51,72,53,50,59,14,48,37,65,50,55,62,36,80,
Mardu Reanimator,23,3,,,1,6,1,,1,1,,2,1,1,,1,1,1,1,,,,,1,,,,,,,,,,
